Name Of Scale,Alternative Scale Names,Ascending Note Positions in Scale,Binary 12notes 1&0,Number Of Notes In Scale,DissonanceIndex,Note Names from C,L and s Interval Sequence,ScaleCoding,Major Triads,Minor Triads,Aug. Triads,Dim. Triads
Unison,,1 .,100000000000,1,?,C  .,(5L+2s),0-0-1 .,,,,
Template for any scale,template any,.,,,?,.,,.,,,,
,,,,,?,,,,,,,
Fifth Interval,Niagari: Japan,1 5 .,100000010000,2,1,C G .,(3L+s) (2L+s),1-0-1 .,,,,
Fourth,Honchoshi: Japan,1 4 .,100001000000,2,1,C F .,(2L+s) (3L+s),1-0-2 .,,,,
Theoretical - No Known Name,DADGAD,1 2 5 .,101000010000,3,1.3333,C D G .,(L) (2L+s) (2L+s),2-0-1 .,,,,
Sanagari (Japan),,1 4 7b .,100001000010,3,1.3333,C F Bb .,(2L+s) (2L+s) (L),2-0-3 .,,,,
Raga Sarvarsi (India),Warao tritonic: S. America,1 4 5 .,100001010000,3,1.3333,C F G .,(2L+s) (L) (2L+s),2-0-2 .,,,,
Theoretical - No Known Name,,1 2 5 7 .,101000010001,5,1.6,C D G B .,(L) (2L+s) (2L) (s),5-45-1 .,G,,,
Theoretical - No Known Name,Chord Csus4,1 3 4 5  .,100011010000,5,1.6,C E F G .,(2L) (s) (L) (2L+s),5-45-2 .,C,,,
Theoretical - No Known Name,,1 4 6 7b .,100001000110,5,1.6,C F A Bb .,(2L+s) (2L)(s) (L),5-45-3 .,F,,,
Theoretical - No Known Name,,1 2b 3b 6b .,110100001000,5,1.6,C Db Eb Ab .,(s) (L) (2L+s) (2L),5-45-6 .,Ab,,,
Major b7 Suspend 4th Chord,,1 4 5 7b .,100001010010,4,1.6667,C F G Bb .,(2L+s) (L) (L+s) (L),3-0-3 .,,,,
Major Suspended 4th Chord,Genus Primum,1 2 4 5 .,101001010000,4,1.6667,C D F G .,(L) (L+s) (L) (2L+s),3-0-2 .,,,,
Theoretical - No Known Name,,1 2 5 6 .,101000010100,4,1.6667,C D G A .,(L) (2L+s) (L) (L+s),3-0-1 .,,,,
Theoretical - No Known Name,,1 3b 4 7b .,100101000010,4,1.6667,C Eb F Bb .,(L+s) (L) (2L+s) (L),3-0-4 .,,,,
"Blues Pentatonic Minor, Hard Japan descending","Chord Cm11 - Pyongjo Kyemyonjo (Korea) Minyo (Japan Raga Dhani (Suddha Dhanyasi),  Abheri, Udhayaravi Chandrika, Qing Shang, Gu Xian,  Jia Zhong, Yu: China, P'yongjo-kyemyonjo: Korea, Minyo:  Japan, Lai Yai, Lai Noi: Laos, Peruvian Pentatonic 2,   Bati: Ethiopia)",1 3b 4 5 7b .,100101010010,5,2,C Eb F G Bb .,(L+s) (L) (L) (L+s) (L),4-0-4 .,Eb,Cm,,
"Egyptian , Suspended Pentatonic","Yo: Japan,  Raga Madhyamavati, Madhmat Sarang, Megh, Shang, Rui Bin, Jin Yu, Qing Yu: China",1 2 4 5 7b .,101001010010,5,2,C D F G Bb .,(L) (L+s) (L) (L+s) (L),4-0-3 .,Bb,Gm,,
Major Pentatonic,"Ryosen, Yona Nuki Major:  Japan, Man Jue, Gong: China, Raga Bhopali (Bhup), Mohanam,  Deskar, Bilahari, Kokila, Jait Kalyan, Peruvian  Pentatonic 1, Ghana pent.2, Tezeta Major (Tizita):  EthiopiaChord C69,",1 2 3 5 6 .,101010010100,5,2,C D E G A .,(L) (L) (L+s) (L) (L+s),4-0-1 .,C,Am,,
"Ritusen Japan, Scottish Pentatonic (as Slendro example)","Ritsu (Gagaku): Japan, Zhi Zheng: China, P'yongjo: Korea, Bac: Vietnam, Lai Soutsanaen, Lai Po Sai, Lai Soi: Laos, Raga Devakriya, Durga,  Suddha Saveri, Arabhi,Zhi (China) (India) Ujo (Korea)",1 2 4 5 6 .,101001010100,5,2,C D F G A .,(L) (L+s) (L) (L) (L+s),4-0-2 .,F,Dm,,
Theoretical - No Known Name,,1 2 6 .,101000000100,3,2,C D A .,(L) (3L+s) (L+s),3-2-1 .,,,,
Theoretical - No Known Name,,1 5 7b .,100000010010,3,2,C G Bb .,(3L+s) (L+s) (L),3-2-3 .,,,,
Ute Tritone (North America),,1 3b 7b .,100100000010,3,2,C Eb Bb .,(L+s) (3L+s) (L),3-3-4 .,,,,
Theoretical - No Known Name,,1 3b 4 .,100101000000,3,2,C Eb F .,(L+s) (L) (3L+s),3-2-4 .,,,,
Theoretical - No Known Name,,1 5 6 .,100000010100,3,2,C G A .,(3L+s) (L) (L+s),3-3-1 .,,,,
Theoretical - No Known Name,,1 2 4 .,101001000000,3,2,C D F .,(L) (L+s) (3L+s),3-3-2 .,,,,
"Blues Pentatonic Minor, Hard Japan descending","3b s  Raga Malkauns 11/567891011/4 in 12edo) Malakosh, Raga Hindola,                  Blues Minor, Man Gong, Quan Ming, Yi Ze,                  Jiao: China",1 3b 4 6b 7b .,100101001010,5,2,C Eb F Ab Bb .,(L+s) (L) (L+s) (L) (L),4-0-5 .,Ab,Fm,,
Do Re Wholetone or Large Interval,,1 2 .,101000000000,2,2,C D .,(L) (4L+2s),2-2-1 .,,,,
Flat Seventh Interval,Warao ditonic: S. America,1 7b .,100000000010,2,2,C Bb .,(4L+2s) (L),2-2-3 .,,,,
Eskimo Tetratonic,Alaska: Bethel,1 2 3 5 .,101010010000,4,2.1667,C D E G .,(L) (L) (L+s) (2L+s),4-4-1 .,C,,,
Theoretical - No Known Name,,1 2 3 6 .,101010000100,4,2.1667,C D E A .,(L) (L) (2L+s) (L+s),4-2-1 .,,Am,,
Theoretical - No Known Name,,1 2 5 7b .,101000010010,4,2.1667,C D G Bb .,(L) (2L+s) (L+s) (L),4-2-3 .,,Gm,,
Theoretical - No Known Name,Chord Cminor sus4,1 3b 4 5 .,100101010000,4,2.1667,C Eb F G .,(L+s) (L) (L) (2L+s),4-2-4 .,,Cm,,
Major add 9 e.g. Bb add9,,1 2 4 7b .,101001000010,4,2.1667,C D F Bb .,(L) (L+s) (2L+s) (L),4-4-3 .,Bb,,,
Theoretical - No Known Name,,1 4 6b 7b .,100001001010,4,2.1667,C F Ab Bb .,(2L+s) (L+s) (L) (L),4-2-5 .,,Fm,,
Major add 9 e.g. F add9,,1 4 5 6 .,100001010100,4,2.1667,C F G A  .,(2L+s) (L) (L) (L+s),4-4-2 .,F,,,
Major add 9 e.g. Ab add9,,1 3b 6b 7b .,100100001010,4,2.1667,C Eb Ab Bb .,(L+s) (2L+s) (L) (L),4-4-5 .,Ab,,,
Theoretical - No Known Name,,1 4 4# 5 6 7b 7 .,100001110111,7,2.2857,C F F# G A Bb B .,(2L+s) (L-s) (s) (L) (s) (L-s) (s),8-57-3 .,F,,,
Theoretical - No Known Name,,1 2 4 4# 5 6 7b 7 .,101001110111,8,2.2857,C D F F# G A Bb B .,(L) (L+s) (L-s) (s) (L) (s) (L-s) (s),8-7-3 .,D F G Bb,Dm Gm Bm,Bb+,Bdim
Theoretical - No Known Name,,1 2 3b 3 4 7b 7 .,101111000011,7,2.2857,C D Eb E F Bb B .,(L) (s) (L-s) (s) (2L+s) (L-s) (s),8-57-4 .,Bb,,,Bdim
Theoretical - No Known Name,,1 2 3b 3 4 5 7b 7 .,101111010011,8,2.2857,C D Eb E F G Bb B .,(L) (s) (L-s) (s) (L) (L+s) (L-s) (s),8-7-4 .,C Eb G Bb,Cm Em Gm,Eb+,Edim Bdim
Theoretical - No Known Name,,1 2b 5b 5 6b 7b 8b .,110000111011,7,2.2857,C Db Gb G Ab Bb Cb .,(s) (2L+s) (L-s) (s) (L) (s) (L-s),8-57-8 .,Gb,,,Gdim
Theoretical - No Known Name,,1 2b 3b 4b 4 5b 8b .,110111100001,7,2.2857,C Db Eb Fb F Gb Cb .,(s) (L) (s) (L-s) (s) (2L+s) (L-s),8-57-9 .,Cb,,Cb+,Cdim
Theoretical - No Known Name,,1 2b 3b 4b 4 5b 6b  8b .,110111101001,8,2.2857,C Db Eb Fb F Gb Ab Cb .,(s) (L) (s) (L-s) (s) (L) (L+s) (L-s),8-7-9 .,Db Fb Ab Cb,Dbm Fm Abm,Fb+ Cb+,Cdim Fdim
Theoretical - No Known Name,,1 1# 2 3 5 5# 6 7 .,111010011101,8,2.2857,C C# D E G G# A B .,(L-s) (s) (L) (L+s) (L-s) (s) (L) (s),8-7-1 .,C E G A,C#m Em Am,C+,C#dim G#dim
Theoretical - No Known Name,,1 2b 2 3b 6b 6 7b .,111100001110,7,2.2857,C Db D Eb Ab A Bb .,(s) (L-s) (s) (2L+s) (L-s) (s) (L),8-57-6 .,Ab,,,Adim
Theoretical - No Known Name,,1 2b 2 3b 4 6b 6 7b .,111101001110,8,2.2857,C Db D Eb F Ab A Bb .,(s) (L-s) (s) (L) (L+s) (L-s) (s) (L),8-7-6 .,Db F Ab Bb,Dm Fm Bbm,Db+,Ddim Adim
Lydian Hexatonic,"Raga Kumud,  Sankara (Shankara), Prabhati, Chord CMaj769",1 2 3 5 6 7 .,101010010101,6,2.3333,C D E G A B .,(L) (L) (L+s) (L) (L) (s),5-0-1 .,C G,Em Am,,
Mixolydian Hexatonic,"Yosen (Japan). Raga Darbar, Narayani, Suposhini (India) P'yongjo: Korea,  Andolika, Gorakh Kalyan",1 2 4 5 6 7b .,101001010110,6,2.3333,C D F G A Bb .,(L) (L+s) (L) (L) (s) (L),5-0-3 .,F Bb,Dm Gm,,
Phrygian Hexatonic,"Raga Gopikavasantam, Desya Todi,  Jayantasri Chord Cm7b6b9sus4",1 3b 4 5 6b 7b .,100101011010,6,2.3333,C Eb F G Ab Bb .,(L+s) (L) (L) (s) (L) (L),5-0-5 .,Eb Ab,Cm Fm,,
"Ritsu Japan, Raga Suddha Todi",,1 2b 3b 4 6b 7b .,110101001010,6,2.3333,C Db Eb F Ab Bb .,(s) (L) (L) (L+s) (L) (L),5-0-6 .,Db Ab,Fm Bbm,,
Scottish Hexatonic Arezzo Major Diatonic Hexachord,"Raga Kambhoji, Devarangini, Sama (Syama)",1 2 3 4 5 6 .,101011010100,6,2.3333,C D E F G A .,(L) (L) (s) (L) (L) (L+s),5-0-2 .,C F,Dm Am,,
Minor 7th e.g. Dm7 = F6 Raga Bhavani (India),,1 2 4 6 .,101001000100,4,2.3333,C D F A .,(L) (L+S) (2L) (L+s),4-3-2 .,F,Dm,,
Minor 7th e.g. Am7 = C6,Chord C6,1 3 5 6 .,100010010100,4,2.3333,C E G A .,(2L) (L+s) (L) (L+s),4-3-1 .,C,Am,,
Theoretical - No Known Name,,1 3b 4 6b .,100101001000,4,2.3333,C Eb F Ab .,(L+s) (L) (L+s) (2L),4-3-5 .,Ab,Fm,,
